# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=100506829
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.9622,0.58031,0.48012,1,1,0,30.3811,0.184537
-32.0088,0.347474,0.321324,1,1,0,32.3457,0.452992
-30.2576,0.995116,0.139272,2,3,0,32.177,0.238474
-29.5611,0.963275,0.204455,2,3,0,30.6267,0.0819959
-29.3637,1,0.28189,1,1,0,29.4827,-0.0294345
-29.3637,0.203115,0.41491,1,1,0,29.9652,-0.0294345
-29.6364,0.959259,0.139504,1,3,0,29.9076,0.106086
-30.1902,0.952187,0.190416,3,7,0,30.1921,0.227055
-30.342,0.951517,0.25588,1,1,0,30.5917,0.252177
-29.5843,0.981828,0.342569,1,3,0,29.9375,-0.214289
-29.6041,0.989607,1.9337,1,1,0,29.7269,-0.220657
-29.6041,0,27.2966,0,1,1,30.1002,-0.220657
-29.6041,1.0442e-08,4.5874,1,1,0,29.6044,-0.220657
-29.5816,1,0.451021,1,1,0,29.6038,-0.213389
-30.1947,0.964628,0.608814,2,7,0,30.7575,-0.35228
-30.3884,0.980179,0.85569,1,1,0,30.4178,-0.383912
-30.7367,0.912316,1.36577,1,1,0,30.9384,-0.434112
-29.496,1,1.85402,2,3,0,30.1954,-0.181799
-29.496,0.273978,3.39825,1,3,0,29.5012,-0.181799
-29.9002,0.957252,0.640011,2,7,0,30.7743,0.171643
-30.5272,0.912687,1.04736,2,3,0,31.0573,0.280366
-29.6107,1,1.50009,1,1,0,30.246,0.0982799
-29.6107,5.03292e-06,2.83787,1,1,0,31.1741,0.0982799
-29.3531,0.998571,0.233014,3,11,0,29.9886,-0.0658437
-29.3599,0.9987,0.443418,2,7,0,29.4328,-0.0359294
-29.4111,0.994363,0.840476,2,5,0,29.4413,0.0139956
-29.4111,0.76263,1.56202,1,3,0,30.2836,0.0139956
-29.3696,1,1.41973,1,1,0,29.3999,-0.0214359
-29.3696,0.0517206,2.65599,1,1,0,30.2351,-0.0214359
-29.4408,0.996255,0.284597,3,11,0,30.0041,0.0314628
-29.4392,1,0.52894,1,1,0,29.4435,0.0306301
-29.7347,0.978294,0.984624,3,7,0,29.7932,0.133099
-30.5466,0.707768,1.70292,2,3,0,31.3049,-0.407629
-29.5253,0.920741,1.32968,1,3,0,31.2182,0.069003
-29.8691,0.835085,1.92657,1,1,0,29.9656,0.164898
-30.6986,0.575396,2.17207,1,1,0,31.1561,0.304511
-29.3532,0.961458,1.17123,2,3,0,31.064,-0.0577972
-29.3685,0.99489,1.88771,2,3,0,29.3686,-0.0228549
-29.3685,0.0455744,3.31278,1,1,0,29.823,-0.0228549
-29.4753,0.996197,0.4186,2,7,0,29.6349,-0.172789
-29.3555,0.977598,0.739636,3,7,0,30.1809,-0.0462678
-29.4183,0.852797,1.23087,2,3,0,30.5029,0.0185931
-30.1345,0.846354,1.45136,1,3,0,30.1433,0.217259
-30.4126,0.895331,1.67759,1,1,0,30.6975,0.26322
-29.7257,1,2.20265,1,1,0,30.3009,0.130792
-29.7257,0.000596517,3.79164,1,1,0,29.7281,0.130792
-29.6074,1,0.477213,3,9,0,29.722,-0.221676
-29.6419,0.996689,0.824215,1,1,0,29.6547,-0.232165
-29.6419,0.634391,1.39953,1,3,0,31.241,-0.232165
-29.639,1,0.9361,1,1,0,29.6759,-0.23131
-30.9421,0.628593,1.58834,1,1,0,30.963,-0.460758
-32.54,0.791325,1.05216,2,3,0,34.1032,-0.626612
-32.2816,0.9986,1.0519,3,7,0,32.7808,0.478811
-30.3385,1,1.75621,1,1,0,31.7776,0.251636
-30.3385,0.0841122,2.92038,1,1,0,30.3633,0.251636
-30.079,0.972287,0.516239,2,7,0,32.0666,-0.331606
-29.9501,1,0.803736,2,3,0,30.0832,-0.306525
-29.4219,0.962401,1.32927,1,3,0,30.241,0.0207524
-29.8096,0.804066,1.99557,1,1,0,29.8631,0.151413
-29.3584,1,2.0461,1,1,0,29.5592,-0.0390333
-30.5735,0.791886,0.831982,1,3,0,31.2219,0.287044
-30.5735,0,8.19798,0,1,1,30.5735,0.287044
-30.1133,1,1.2385,1,1,0,30.6358,0.213447
-29.622,1,1.64576,1,1,0,30.0295,0.101739
-29.622,0.0733304,2.59244,1,1,0,29.6277,0.101739
-29.3592,0.995099,0.282344,2,7,0,30.0718,-0.0372164
-30.222,0.955773,0.468348,2,5,0,30.8156,-0.356941
-30.051,0.952924,0.725134,2,5,0,30.9758,0.201909
-31.3994,0.650965,1.14527,1,1,0,31.4777,0.390034
-30.6158,1,0.708515,1,1,0,31.3075,0.293052
-29.5206,1,1.32903,1,1,0,30.1825,0.0672168
-29.5206,0.00158822,2.50496,1,1,0,29.7811,0.0672168
-29.3753,0.998494,0.203424,3,11,0,29.8789,-0.109458
-29.5809,0.983971,0.385303,2,7,0,30.1791,-0.213166
-29.9419,0.977233,0.69543,2,5,0,29.9518,0.1804
-29.8701,1,1.22331,1,1,0,30.0943,0.165112
-29.8701,0.0239182,2.29384,1,1,0,29.9764,0.165112
-31.8907,0.986348,0.216425,3,13,0,32.5901,-0.565856
-32.0849,0.992798,0.391614,1,1,0,32.1118,-0.584767
-33.2592,0.863867,0.716501,1,1,0,33.3165,-0.687063
-30.7974,0.985389,0.884437,2,7,0,33.2681,0.31774
-30.4747,1,1.55899,2,3,0,30.6208,-0.397053
-30.4747,1.17811e-22,2.84196,1,1,0,31.032,-0.397053
-29.4942,0.991408,0.280378,2,7,0,31.4306,-0.181034
-29.502,0.999524,0.501031,1,1,0,29.5076,-0.184279
-29.4608,1,0.907533,1,1,0,29.5055,-0.166026
-29.4608,0.0615716,1.62974,1,1,0,31.3378,-0.166026
-29.6023,0.998756,0.207675,3,13,0,29.7604,0.0956455
-29.4586,0.982543,0.372668,2,7,0,30.6246,-0.164949
-30.4729,0.929568,0.633254,2,3,0,30.473,-0.396794
-29.9357,0.922052,0.922575,2,3,0,31.4112,-0.303547
-30.2891,0.863347,1.30876,1,1,0,30.5058,-0.368101
-30.2891,0.121427,1.57596,2,3,0,32.582,-0.368101
-30.281,1,0.260615,2,3,0,30.3006,-0.366784
-30.2688,1,0.455294,3,7,0,30.3212,-0.364762
-30.4387,0.974685,0.788323,1,1,0,30.5259,-0.391645
-29.7827,1,1.26665,1,1,0,30.2993,-0.269476
-29.7827,0.050325,2.15696,1,1,0,29.9738,-0.269476
-30.1288,0.986642,0.317758,1,3,0,30.4669,-0.340683
-30.1591,0.98121,0.524193,2,5,0,30.8883,0.221626
-29.3549,0.838588,0.846462,2,3,0,31.9107,-0.0483246
-29.4757,0.968344,0.948553,1,3,0,29.5423,-0.172978
-30.9419,0.622077,1.46629,2,3,0,31.0207,-0.460738
-32.6763,0.680585,0.956058,1,1,0,32.7447,-0.638557
-33.0219,0.956962,0.724123,1,1,0,33.3286,-0.667787
-30.0206,1,1.08047,1,3,0,32.1716,-0.320539
-30.0206,0.0664128,1.77916,1,1,0,30.8641,-0.320539
-29.7784,0.979067,0.30795,2,7,0,32.0799,0.143984
-29.6997,1,0.48313,1,1,0,29.7744,0.123938
-29.6067,0.9876,0.791641,3,7,0,29.9173,0.0970348
-29.6042,1,1.25139,1,1,0,29.701,0.0962383
-29.6042,0.168506,2.02396,1,1,0,29.8233,0.0962383
-29.465,0.986151,0.470166,2,7,0,30.181,-0.16801
-29.829,0.968486,0.73646,2,3,0,29.8955,-0.280346
-30.1484,0.910252,1.10129,1,1,0,30.2371,-0.344184
-29.5159,1,1.43452,1,1,0,29.9137,-0.189836
-29.386,1,2.28263,1,1,0,29.4778,-0.119675
-29.386,4.2757e-95,3.61121,1,1,0,36.1522,-0.119675
-29.5568,0.981208,0.604828,1,3,0,29.658,-0.204958
-29.3532,1,0.919845,2,3,0,29.5287,-0.0580621
-29.3532,0.747413,1.45095,1,1,0,29.6322,-0.0580621
-29.4441,0.973912,1.30582,1,3,0,29.445,0.0332234
-29.4441,0.248842,1.93098,1,1,0,30.0827,0.0332234
-29.4289,0.992274,0.587382,3,7,0,29.7118,0.0248869
-29.4971,0.949126,0.903749,2,7,0,29.8183,-0.182255
-29.353,0.899692,1.26107,2,3,0,29.8057,-0.0627484
-29.353,0.417251,1.5772,1,1,0,29.952,-0.0627484
-29.3548,0.99966,0.70547,1,3,0,29.3567,-0.0755978
-31.1767,0.626592,1.09068,1,3,0,31.4183,-0.489167
-31.2633,0.989553,0.76579,3,7,0,31.6228,0.37474
-29.9234,1,1.15309,1,1,0,30.8854,0.176548
-29.399,1,1.76659,1,1,0,29.5362,-0.130066
-29.5853,0.431243,2.69426,1,3,0,29.7278,0.090171
-29.4069,0.988096,1.26846,2,3,0,29.6541,-0.135659
-30.2293,0.492814,1.8828,1,1,0,30.2862,0.23373
-30.1968,1,1.0145,1,1,0,30.424,0.228189
-30.1968,0.4239,1.53807,1,3,0,31.7643,0.228189
-30.5414,0.956823,0.726372,1,1,0,30.5641,0.282429
-29.5178,0.999269,1.00722,1,3,0,30.3114,0.0661089
-29.5178,0.275113,1.51525,1,1,0,30.6972,0.0661089
-29.5142,1,0.53827,1,1,0,29.5274,0.0647108
-29.5021,1,0.810119,1,1,0,29.5322,0.0598793
-29.3531,0.999359,1.21443,1,3,0,29.4592,-0.0660607
-29.3688,0.987597,1.8112,1,1,0,29.3712,-0.101987
-29.3688,1.75741e-05,2.62996,1,1,0,30.1295,-0.101987
-30.2366,0.873337,0.559673,1,3,0,31.7182,-0.359398
-29.6097,0.956977,0.652942,2,3,0,30.9638,-0.222415
-29.481,0.676206,0.893385,2,3,0,33.0718,-0.175357
-31.545,0.839031,0.712038,2,3,0,31.5666,-0.530291
-31.629,0.987807,0.775542,1,1,0,31.9202,-0.539178
-29.4,1,1.11931,1,3,0,31.0663,-0.130741
-29.359,1,1.64768,1,1,0,29.3811,-0.0866548
-29.359,0.783757,2.41718,1,1,0,29.3728,-0.0866548
-29.359,0.272413,2.35738,1,1,0,29.5898,-0.0866548
-29.4857,0.890949,0.886299,2,3,0,30.2614,-0.177391
-29.3807,1,1.05941,1,1,0,29.4571,-0.114893
-29.8619,0.756198,1.54677,1,1,0,29.8961,-0.287765
-29.3982,1,1.43706,2,3,0,29.6508,-0.129425
-29.3982,0.0252939,2.08874,1,1,0,30.4523,-0.129425
-29.7783,0.972197,0.510645,2,5,0,30.1776,0.143959
-29.4053,0.977914,1.41282,2,3,0,29.6089,0.0101164
-29.4053,0,19.5242,0,1,1,29.5865,0.0101164
-29.4053,4.23688e-19,3.26058,1,1,0,29.8857,0.0101164
-29.3954,0.999964,0.31942,4,15,0,29.4159,0.00288698
-31.6009,0.91097,0.430159,2,5,0,32.2504,0.411786
-30.1452,0.960051,0.51446,2,3,0,32.5957,0.219169
-29.399,1,0.768001,2,7,0,30.0199,-0.130019
-30.092,0.786694,1.36378,1,3,0,30.0993,0.209553
-30.0622,1,1.27874,2,3,0,30.1105,-0.32847
-30.0622,0.00676754,2.37699,1,3,0,30.0698,-0.32847
-29.3726,0.996375,0.193001,3,15,0,30.8819,-0.106448
-29.3691,0.989767,0.360631,3,7,0,29.8436,-0.102299
-29.3537,0.998145,0.662823,1,3,0,29.3946,-0.054017
-33.2649,0.427317,1.25046,2,3,0,33.3587,-0.687517
-33.1414,1,0.396445,2,3,0,33.3844,-0.67757
-29.3765,1,0.753514,2,3,0,32.5134,-0.0137799
-31.7754,0.237229,1.42288,1,1,0,31.8651,0.42984
-30.8358,0.998193,0.259469,3,7,0,32.1294,0.322749
-31.3277,0.965894,0.487976,1,1,0,31.3281,0.382047
-31.8398,0.967267,0.825488,2,3,0,32.1075,0.436332
-29.8198,0.962517,1.39133,1,3,0,30.7704,-0.278221
-29.8198,1.26076e-12,2.29359,1,1,0,31.0797,-0.278221
-29.6964,0.999108,0.223192,1,3,0,29.9185,-0.247495
-29.6286,0.995289,0.412423,2,3,0,29.8532,-0.22821
-29.8081,0.97083,0.746198,1,1,0,29.8162,-0.27551
-29.5707,1,1.24662,1,1,0,29.7915,-0.209738
-29.5707,6.95514e-06,2.24271,1,1,0,30.2008,-0.209738
-29.3812,0.989513,0.240834,2,7,0,30.7286,-0.115362
-29.4793,0.991383,0.422547,1,3,0,29.5852,-0.174569
-29.4451,1,0.738255,1,1,0,29.4799,-0.15816
-29.4477,0.99955,1.30846,2,3,0,29.4585,0.0350935
-29.4093,1,2.29443,1,1,0,29.5146,0.0127759
-29.4093,3.04654e-91,3.99131,1,1,0,30.554,0.0127759
-29.7496,0.963309,0.475619,1,3,0,30.1038,0.136869
-29.6654,1,0.753471,1,1,0,29.765,0.114495
-29.6677,0.999617,1.30487,2,3,0,29.6739,-0.239581
-29.7034,0.948421,2.23798,1,1,0,30.2051,-0.249369
-29.7034,3.71769e-32,3.33368,1,1,0,29.8566,-0.249369
-29.7291,0.990453,0.431874,2,3,0,29.9725,-0.256112
-29.6664,1,0.720619,1,1,0,29.7492,-0.239211
-29.6664,0.290098,1.22224,1,1,0,31.2975,-0.239211
-29.6559,1,0.345932,1,1,0,29.6725,-0.236216
-29.6986,0.999382,0.585226,3,7,0,29.7151,-0.24809
-29.4646,0.931741,0.980903,2,3,0,30.2209,-0.167846
-29.5141,0.97239,1.38196,1,1,0,29.5802,-0.18912
-29.4822,0.436087,2.13935,1,3,0,29.4906,0.0514255
-29.8023,0.926408,0.897834,1,1,0,29.8024,0.149703
-29.5737,0.817794,1.24033,2,3,0,30.3291,-0.210762
