# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=100506829
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.3585,0.168046,0.5,1,1,0,29.5939,-0.0856637
-29.3585,0,3.16951,0,1,1,29.3586,-0.0856637
-30.3615,0.555802,0.34213,1,1,0,30.3874,-0.379718
-29.3592,0.991536,0.114882,2,5,0,30.729,-0.037377
-29.8948,0.956595,0.143823,3,7,0,30.2405,-0.294942
-29.6636,1,0.190747,1,1,0,29.8637,-0.238411
-29.9154,0.881641,0.316239,1,1,0,30.0708,-0.299308
-29.379,1,0.385033,1,1,0,29.5312,-0.0111899
-29.379,0.0368843,0.699542,1,1,0,29.4092,-0.0111899
-29.4038,0.999302,0.0620365,3,7,0,29.4373,0.00906572
-29.3584,1,0.11569,2,7,0,29.4027,-0.0389541
-29.5881,0.938476,0.218703,1,3,0,29.6994,-0.215512
-29.4146,1,0.342169,1,1,0,29.5334,-0.140716
-30.2323,0.177433,0.650197,1,1,0,31.146,0.23423
-32.1062,0.962732,0.0947356,3,15,0,32.1096,-0.586805
-29.7473,1,0.161528,2,3,0,31.9963,-0.260757
-29.7696,0.996513,0.307551,2,3,0,29.7782,0.141832
-29.7455,0.333402,0.575125,1,3,0,29.8426,-0.260295
-29.6046,1,0.142985,1,1,0,29.7311,-0.220792
-29.4345,1,0.2699,1,1,0,29.5579,-0.152492
-29.3873,0.535724,0.504735,1,3,0,29.3873,-0.00366867
-29.5132,0.965261,0.236906,1,1,0,29.5133,0.06433
-30.5837,0.430093,0.396932,1,1,0,30.6019,-0.412956
-30.9954,0.96087,0.139221,1,1,0,31.0104,-0.467389
-29.8817,1,0.229554,1,1,0,30.7158,-0.292098
