# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=100506829
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-33.5378,1,0.25,2,3,0,39.9376,0.584515
-33.5378,0,14.3855,0,1,1,33.7826,0.584515
-33.5378,0,2.43117,0,1,1,34.2741,0.584515
-33.0308,1,0.239791,1,1,0,34.3482,0.544076
-29.8087,1,0.324332,1,1,0,31.6211,0.151196
-29.3598,1,0.507206,1,1,0,29.4859,-0.0360396
-29.3598,0.00995192,0.863376,1,1,0,29.3824,-0.0360396
-29.3688,0.999208,0.0708865,3,7,0,29.4085,-0.0225072
-29.3544,0.99691,0.126387,1,3,0,29.4321,-0.0742366
-30.618,0.729177,0.23045,1,3,0,30.8431,-0.417799
-30.3375,1,0.183248,1,1,0,30.6605,-0.375909
-29.7138,0.912563,0.346234,2,3,0,30.2197,0.127685
-29.7138,0.389567,0.498557,1,3,0,29.7139,0.127685
-29.8998,0.982049,0.139513,1,1,0,29.8999,0.17157
-30.7875,0.754348,0.251956,1,1,0,30.8596,0.316438
-30.1686,1,0.223859,1,1,0,30.7257,0.2233
-30.1686,0.00972137,0.425269,1,1,0,30.9725,0.2233
-29.4877,0.998023,0.038957,3,15,0,31.0508,-0.178244
-29.5491,0.991308,0.0741137,3,11,0,30.0548,0.0777671
-29.3561,0.986032,0.137011,1,3,0,29.7766,-0.0445645
-29.7741,0.870604,0.247144,2,3,0,30.1238,0.142939
-29.7713,1,0.31408,2,3,0,29.7755,-0.266701
-30.1956,0.162966,0.581262,1,3,0,30.5456,0.227987
-30.2781,0.9964,0.0934878,1,1,0,30.2874,0.24186
-30.9124,0.91105,0.171348,1,1,0,30.9232,0.332571
-29.4599,0.934737,0.243644,1,3,0,31.0667,-0.165594
-29.7779,0.80583,0.368358,1,1,0,29.8935,-0.268315
-29.7779,0.0797515,0.385086,1,1,0,31.5196,-0.268315
-29.3611,0.99977,0.0532549,4,15,0,29.8718,-0.0337762
-29.353,0.999185,0.0966142,2,5,0,29.3957,-0.0619854
-29.6966,0.934536,0.173274,1,3,0,29.9756,0.123111
-29.3987,0.979833,0.258213,1,3,0,29.7226,-0.129792
-29.3987,0.873539,0.431883,1,1,0,29.5022,-0.129792
-29.3987,0.464351,0.539224,1,1,0,29.4196,-0.129792
-29.3788,0.877454,0.226777,2,3,0,30.2157,-0.0113984
-31.4978,0.570198,0.286493,1,3,0,31.504,0.400784
-30.705,1,0.161768,1,1,0,31.4068,0.305384
-29.3984,1,0.280315,1,3,0,30.1922,0.00516362
-29.3834,0.791469,0.481594,1,3,0,29.3835,-0.117353
-29.3834,0.0297853,0.482228,1,1,0,29.8769,-0.117353
