sample_type,sample_subtype,classcode,genus,species,description_common_spp_name,max_total_length,notes,family
FISH,FISH,GNIG,Girella,nigricans,Opaleye,66,,KYPHOSIDAE
FISH,FISH,GOBI,Gobiidae,spp.,Gobies,15,unidentified sp.,GOBIIDAE
FISH,FISH,HANA,Hyperprosopon,analis,Spotfin Surfperch,20,,EMBIOTOCIDAE
FISH,FISH,HANA,Hyperprosopon,analis,Spotfin Surfperch,20,,EMBIOTOCIDAE
FISH,FISH,HARG,Hyperprosopon,argenteum,Walleye Surfperch,30,,EMBIOTOCIDAE
FISH,FISH,HAZU,Hermosilla,azurea,Zebra-perch sea chub,45,,KYPHOSIDAE
FISH,FISH,HCAR,Hypsurus,caryi,Rainbow Surfperch,30,,EMBIOTOCIDAE
FISH,FISH,HDEC,Hexagrammos,decagrammus,Kelp Greenling,61,,HEXAGRAMMIDAE
FISH,FISH,HELL,Hyperprosopon,ellipticum,Silver Surfperch,27,,EMBIOTOCIDAE
FISH,FISH,HFRA,Heterodontus,francisci,Horn Shark,122,,HETERODONTIDAE
FISH,FISH,HLAG,Hexagrammos,lagocephalus,Rock Greenling,61,,HEXAGRAMMIDAE
FISH,FISH,HLAG,Hexagrammos,lagocephalus,Rock Greenling,61,,HEXAGRAMMIDAE
FISH,FISH,HROS,Heterostichus,rostratus,Giant Kelpfish,61,,CLINIDAE
FISH,FISH,HRUB,Hypsypops,rubicundus,Garibaldi,36,Fishbase had max length 30 but other sources (Peterson) had 36,POMACENTRIDAE
FISH,FISH,HSEM,Halicoeres,semicinctus,Rock Wrasse,38,,LABRIDAE
FISH,FISH,JZON,Jordania,zonope,Longfin Sculpin,15,,COTTIDAE
FISH,FISH,KGB,Sebastes,"atrovirens,carnatus,chrysomelas,caurinus",rockfish YOY (Pteropodus),15,"This species group includes Sebastes atrovirens, S. carnatus, S. chrysomelas, S. caurinus (Kelp/Gopher/Black and Yellow/Copper)",SCORPAENIDAE
FISH,FISH,KSEI,Kasatkia,seigeli,Six-spot Prickleback,8.2,,STICHAEIDAE
FISH,FISH,LCON,Lethops,connectens,"Kelp Goby, Halfblind Goby",6.4,,GOBIIDAE
FISH,FISH,LDAL,Lythrypnus,dalli,Bluebanded Goby,6.4,,GOBIIDAE
FISH,FISH,LHIR,Leiocottus,hirundo,Lavender Sculpin,25,,COTTIDAE
FISH,FISH,LIPA,Liparis,spp.,Snailfish,13,unidentified sp.,LIPARIDAE
FISH,FISH,LLEP,Lepidogobius,lepidus,bay goby,10,,
FISH,FISH,LMUC,Liparis,mucosus,Slimy Snailfish,13,,
FISH,FISH,LZEB,Lythrypnus,zebra,zebra goby,5.7,"NOT COUNTED BY PISCO, BUT ON VRG LIST",
FISH,FISH,MCAL,Medialuna,californiensis,Halfmoon,48,,KYPHOSIDAE
FISH,FISH,MCEP,Mugil,cephalus,Mullet,100,,
FISH,FISH,MMIN,Micropetrus,minimus,Dwarf Surfperch,16,Seen in 2011,X
FISH,FISH,MMOL,Mola,Mola,Ocean Sunfish,333,,MOLIDAE
FISH,FISH,MXEN,Mycteroperca,xenarcha   , Broomtail grouper ,150,,SERRANIDAE   
FISH,FISH,NBLA,Neoclinus,blanchardi,Sarcastic fringehead,30,Seen in 2011,X
FISH,FISH,NCEP,Notorynchus,cepedianus,Broadnose sevengill shark,300,ADDED TO SITE LIST BECAUSE SEEN BY VRG,
FISH,FISH,NO_ORG,,,No organisms present in this sample,0,,
FISH,FISH,NSTE,Neoclinus,stephensae,Yellowfin Fringehead,10,,
FISH,FISH,NUNI,Neoclinus,uninotatus,Onespot Fringehead,25,,
FISH,FISH,OCAL,Oxyjulis,californica,Senorita,25,,LABRIDAE
FISH,FISH,OCAL,Oxyjulis,californica,Senorita,25,,LABRIDAE
FISH,FISH,OELO,Ophiodon,elongatus,Lingcod,152,,HEXAGRAMMIDAE
FISH,FISH,OPIC,Oxylebius,pictus,Painted Greenling,25,,HEXAGRAMMIDAE
FISH,FISH,OTRI,Orthonopias,triacis,snubnose sculpin,10,,COTTIDAE
FISH,FISH,OYB,Sebastes,"serranoides,flavidus,melanops",rockfish YOY (Sebastosomus),15,"This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black) ",SCORPAENIDAE
FISH,FISH,OYB,Sebastes,"flavidus, melanops, serranoides","Olive, Yellowtail, Black Rockfish complex",15,Some rockfish recruits in 2011 were difficult to distinguish and were lumped,X
FISH,FISH,OYT,Sebastes,"serranoides,flavidus",olive or yellowtail  rockfish ,66,This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail),SCORPAENIDAE
FISH,FISH,OYT,Sebastes,"serranoides,flavidus",olive or yellowtail  rockfish ,66,This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail),SCORPAENIDAE
