year,bimonth,enso
1985,marapr,-0.481
1986,marapr,-0.11
1987,marapr,1.866
1988,marapr,0.353
1989,marapr,-0.795
1990,marapr,0.442
1991,marapr,0.463
1992,marapr,2.275
1993,marapr,1.409
1994,marapr,0.465
1995,marapr,0.466
1996,marapr,-0.42
1997,marapr,0.535
1998,marapr,2.685
1999,marapr,-0.982
2000,marapr,-0.479
2001,marapr,-0.091
2002,marapr,0.401
2003,marapr,0.365
2004,marapr,0.285
2005,marapr,0.642
2006,marapr,-0.621
2007,marapr,0.015
2008,marapr,-0.874
2009,marapr,-0.109
2010,marapr,0.95
2011,marapr,-1.392
2012,marapr,0.127
2013,marapr,0.069
2014,marapr,0.248
2015,marapr,0.97
2016,marapr,2.07
1950,aprmay,-1.433
1951,aprmay,-0.36
1952,aprmay,-0.309
1953,aprmay,0.784
1954,aprmay,-1.416
1955,aprmay,-1.642
1956,aprmay,-1.317
1957,aprmay,0.866
1958,aprmay,0.719
1959,aprmay,0.013
1960,aprmay,-0.335
1961,aprmay,-0.288
1962,aprmay,-0.91
1963,aprmay,-0.477
1964,aprmay,-1.242
1965,aprmay,0.49
1966,aprmay,-0.152
1967,aprmay,-0.455
1968,aprmay,-1.095
1969,aprmay,0.696
1970,aprmay,-0.126
1971,aprmay,-1.464
1972,aprmay,0.464
1973,aprmay,-0.106
1974,aprmay,-1.077
1975,aprmay,-0.863
1976,aprmay,-0.496
1977,aprmay,0.326
1978,aprmay,-0.388
1979,aprmay,0.38
1980,aprmay,0.961
1981,aprmay,0.161
1982,aprmay,0.429
1983,aprmay,2.542
1984,aprmay,0.131
1985,aprmay,-0.707
1986,aprmay,0.35
1987,aprmay,2.14
1988,aprmay,0.119
1989,aprmay,-0.435
1990,aprmay,0.637
1991,aprmay,0.759
1992,aprmay,2.129
1993,aprmay,1.998
1994,aprmay,0.573
1995,aprmay,0.563
1996,aprmay,-0.127
1997,aprmay,1.165
1998,aprmay,2.212
1999,aprmay,-0.66
2000,aprmay,0.169
2001,aprmay,0.233
2002,aprmay,0.851
2003,aprmay,0.111
2004,aprmay,0.539
2005,aprmay,0.836
2006,aprmay,0.008
2007,aprmay,0.247
2008,aprmay,-0.368
2009,aprmay,0.361
2010,aprmay,0.643
2011,aprmay,-0.288
2012,aprmay,0.747
2013,aprmay,0.146
2014,aprmay,0.976
2015,aprmay,1.584
2016,aprmay,1.699
1950,mayjun,-1.391
1951,mayjun,0.349
1952,mayjun,-0.723
1953,mayjun,0.218
1954,mayjun,-1.564
1955,mayjun,-2.243
1956,mayjun,-1.502
1957,mayjun,0.769
1958,mayjun,0.864
1959,mayjun,-0.018
1960,mayjun,-0.254
1961,mayjun,-0.137
1962,mayjun,-0.852
1963,mayjun,-0.087
1964,mayjun,-1.115
1965,mayjun,0.915
1966,mayjun,-0.168
1967,mayjun,-0.266
1968,mayjun,-0.771
1969,mayjun,0.82
1970,mayjun,-0.659
1971,mayjun,-1.448
1972,mayjun,1.069
1973,mayjun,-0.769
1974,mayjun,-0.67
1975,mayjun,-1.15
